km_cluster,crop_code,median_yield_kg_per_ha,avg_yield_kg_per_ha,n_obs,crop_pop_median,relative_yield_index
7,IRISH [MALAWI] POTATO,2289.627685546875,19447.79279105271,79,7113.109375,0.3218884407421157
7,MAIZE,33840.22265625,150599.33753947273,1401,3052.836669921875,11.084845445438129
7,NKHWANI,2684.5882568359375,34157.96261275465,330,1602.7392578125,1.675
7,ONION,23811.291015625,82107.36522393477,19,7494.7138671875,3.1770780629628668
7,"OTHER, PERMANENT CROP (SPECIFY)",965.8504028320312,7133.112050374349,18,897.7661437988281,1.0758374098906311
7,"OTHER, TEMPORARY CROP (SPECIFY)",3663.40380859375,44510.41108166088,88,1623.1322021484375,2.256996567343519
7,PEARL MILLET(MCHEWERE),7326.8076171875,27674.36939990136,93,1113.1102294921875,6.582283967087488
7,PIGEONPEA(NANDOLO),9497.71484375,57159.570999650816,755,2442.269287109375,3.888889277640354
7,RICE,29307.232421875,107687.2364816049,287,4884.53857421875,6.000000199929325
7,SORGHUM,6594.126953125,59826.282538767344,271,1397.6207885742188,4.718108808221142
7,SOYABEAN,16241.091796875,101809.15073594297,407,2900.19482421875,5.600000269378454
7,SUGAR CANE,2833.77734375,28938.111428291566,31,2170.90625,1.305343030704343
7,SUNFLOWER,3052.836669921875,20221.996120942527,67,1980.9323120117188,1.5411110472631915
7,SWEET POTATO,12711.44921875,88396.52960925832,203,4579.25537109375,2.7758769032603405
7,Sesame,1221.1346435546875,7073.5286051432295,3,555.6162719726562,2.1978021615874916
7,TANAPOSI,8057.54638671875,12012.864827473959,3,3663.40380859375,2.199469894041453
7,THERERE/OKRA,2442.269287109375,44331.33124421772,19,1114.9879150390625,2.190399782964296
7,TOBACCO,56935.41015625,163171.3463069572,201,3968.687744140625,14.346155159299066
7,TOMATO,9280.623046875,114626.05479671645,69,3847.7955322265625,2.4119324868347882
7,WHEAT,474.8857421875,3414.654296875,3,0.0,inf
8,BANANA,1713.4046630859375,4824.878925323486,6,3443.599853515625,0.4975620675952509
8,BEANS,2384.6317138671875,26157.982380102152,274,3261.956298828125,0.7310434277503592
8,CABBAGE,0.0,3746.8483072916665,3,8989.87109375,0.0
8,CASSAVA,3557.593017578125,15102.842079275348,203,3831.92041015625,0.9284099450888806
8,COCOA,79519.4478125,79519.4478125,1,122.11347198486328,651.1930790269965
8,COCONUT,0.0,0.0,1,0.0,
8,COFFEE,7627.763916015625,8936.517150878906,6,5220.3505859375,1.4611593207098348
8,COTTON,1481.6435546875,10150.705306820322,9,992.1719360351562,1.4933334645689877
8,COW PEAS (KHOBWE),1137.9448852539062,9053.350563980128,146,1221.1346435546875,0.9318750321761258
8,Cucumber,0.0,2580.5603778545674,13,186.90838623046875,0.0
8,Eggplant,6183.826171875,6183.826171875,1,9692.7568359375,0.6379842470562597
8,FINGER MILLET(MAWERE),1371.2325439453125,16899.541270536545,34,2165.478759765625,0.6332237329789022
8,GREEN PEA (NSAWAWA),7.108530044555664,18559.05183982849,10,869.8141479492188,0.008172470017089987
8,GROUND BEAN(NZAMA),1755.381103515625,27703.880397831595,26,2442.269287109375,0.7187500218672699
8,GROUNDNUT/PEANUTS,2500.273193359375,17777.139093321322,865,2442.269287109375,1.023750004373454
8,IRISH [MALAWI] POTATO,8412.26171875,23362.663716809504,29,7113.109375,1.182641974874736
8,MAIZE,3278.502685546875,22507.617759312554,2699,3052.836669921875,1.0739201077635034
8,NKHWANI,728.250244140625,17359.849426657467,118,1602.7392578125,0.4543784901947045
8,ONION,8539.39453125,13019.737630208334,3,7494.7138671875,1.1393889990432058
8,"OTHER, PERMANENT CROP (SPECIFY)",1504.1021423339844,1504.1021423339844,2,897.7661437988281,1.6753830078393157
8,"OTHER, TEMPORARY CROP (SPECIFY)",3170.0657958984375,43588.43527857462,12,1623.1322021484375,1.953054588962268
8,PAPRIKA,0.0,0.0,1,1433.0162963867188,0.0
8,PEARL MILLET(MCHEWERE),1694.324462890625,7459.688287058184,31,1113.1102294921875,1.5221533483378313
8,PIGEONPEA(NANDOLO),2521.981201171875,27184.745092364916,522,2442.269287109375,1.0326384623035756
8,PINEAPPLE,16621.001953125,16621.001953125,1,1224.1875,13.577170125593506
8,RICE,3498.415283203125,34882.015120105556,202,4884.53857421875,0.7162222654291708
8,SORGHUM,2442.269287109375,25591.727789753368,181,1397.6207885742188,1.7474477390972791
