HHID,plotid,gardenid,crop_code,plotareaHA,harvest_Qua_per_crop,km_cluster,yield_kg_per_ha
007CAC128AB74C0E9BBB974B33F7A0F2,2,1,TOBACCO,0.49999875,200.0005,0,400.00201416015625
007D8295AE5C40F5BF2FF951C619B20D,1,1,MAIZE,0.8094,0.0,5,0.0
007D8295AE5C40F5BF2FF951C619B20D,2,1,GROUNDNUT/PEANUTS,0.4047,0.0,5,0.0
007E04F2CF584A0F8D9D0DA2CB4010C3,1,1,MAIZE,0.4047,2347.4177,5,5800.3896484375
007E04F2CF584A0F8D9D0DA2CB4010C3,1,1,MAIZE,0.4047,2347.4177,5,5800.3896484375
007FCFF2EFD44DC3A822ABDC80195FB6,1,1,RICE,0.4047,0.0,0,0.0
007FCFF2EFD44DC3A822ABDC80195FB6,1,2,MAIZE,0.708225,564.79224,0,797.4757080078125
00835534ACF04C7B8A35E04C3643D3C8,1,1,MAIZE,0.60705,658.9243,0,1085.453125
00835534ACF04C7B8A35E04C3643D3C8,1,1,MAIZE,0.60705,658.9243,0,1085.453125
008F215C16FA4CF08DC67BE94F530D28,1,2,RICE,0.4047,2729.429,0,6744.326171875
008F215C16FA4CF08DC67BE94F530D28,1,3,GROUNDNUT/PEANUTS,0.20235,1245.367,0,6154.51904296875
008F215C16FA4CF08DC67BE94F530D28,2,1,MAIZE,0.12141,5119.0186,0,42163.07421875
008F215C16FA4CF08DC67BE94F530D28,1,2,SWEET POTATO,0.16188,3124.5369,0,19301.5625
008F8F92FECC47E88AE645CF8302AA0A,1,2,GROUNDNUT/PEANUTS,0.101175,1853.2246,0,18317.021484375
008F8F92FECC47E88AE645CF8302AA0A,1,3,MAIZE,0.101175,1853.2246,0,18317.021484375
008F8F92FECC47E88AE645CF8302AA0A,2,1,PIGEONPEA(NANDOLO),0.20235,114.899925,0,567.82763671875
008F8F92FECC47E88AE645CF8302AA0A,1,1,PIGEONPEA(NANDOLO),0.20235,926.6123,0,4579.25537109375
008F8F92FECC47E88AE645CF8302AA0A,1,1,PIGEONPEA(NANDOLO),0.20235,247.0966,0,1221.1346435546875
00905AE55023488E90770E2D22128A53,1,2,PIGEONPEA(NANDOLO),0.32376,154.43538,6,477.0057373046875
00905AE55023488E90770E2D22128A53,1,2,PIGEONPEA(NANDOLO),0.20235,0.0,6,0.0
00905AE55023488E90770E2D22128A53,1,1,MAIZE,0.20235,247.0966,6,1221.1346435546875
00984987D8ED471C87781298C860E494,1,1,SOYABEAN,0.20235,1051.6432,6,5197.1494140625
00984987D8ED471C87781298C860E494,2,1,SOYABEAN,0.20235,0.0,6,0.0
00984987D8ED471C87781298C860E494,2,1,SOYABEAN,0.20235,1051.6432,6,5197.1494140625
00984987D8ED471C87781298C860E494,1,1,SOYABEAN,0.4047,0.0,6,0.0
00984987D8ED471C87781298C860E494,1,2,MAIZE,0.20235,0.0,6,0.0
009B793105C64B4D8A53DD835B79B1EA,2,1,SWEET POTATO,0.4047,520.87964,0,1287.075927734375
009B793105C64B4D8A53DD835B79B1EA,1,1,MAIZE,0.4047,494.1932,0,1221.1346435546875
009CC47B70AB45C08311BECEAB286290,2,3,SOYABEAN,0.04047,14556.955,5,359697.4375
009CC47B70AB45C08311BECEAB286290,1,3,BEANS,0.04047,14556.955,5,359697.4375
009CC47B70AB45C08311BECEAB286290,2,1,GROUNDNUT/PEANUTS,0.04047,9962.936,5,246180.765625
009CC47B70AB45C08311BECEAB286290,1,2,MAIZE,0.04047,9962.936,5,246180.765625
009CC47B70AB45C08311BECEAB286290,2,1,GROUNDNUT/PEANUTS,0.04047,876.47644,5,21657.435546875
009CC47B70AB45C08311BECEAB286290,3,3,SWEET POTATO,0.04047,14556.955,5,359697.4375
009CC47B70AB45C08311BECEAB286290,2,1,GROUNDNUT/PEANUTS,0.04047,907.833,5,22432.24609375
009CC47B70AB45C08311BECEAB286290,1,1,GROUNDNUT/PEANUTS,0.04047,8376.575,5,206982.328125
009E472A07C24B019BE861C9CEDB8E63,1,1,MAIZE,0.20235,3459.3525,5,17095.884765625
009E472A07C24B019BE861C9CEDB8E63,1,1,MAIZE,0.20235,3459.3525,5,17095.884765625
009E472A07C24B019BE861C9CEDB8E63,2,1,SWEET POTATO,0.20235,2981.2205,5,14732.9892578125
00A4777FC53A4BBD9845E18942096462,3,1,GROUNDNUT/PEANUTS,0.4047,1111.9347,2,2747.552978515625
00A4777FC53A4BBD9845E18942096462,1,1,SOYABEAN,0.4047,1359.0314,2,3358.120361328125
00A4777FC53A4BBD9845E18942096462,2,1,MAIZE,0.4047,1510.0691,2,3731.32958984375
00A94DDA39EF4632A6F73B26EC901531,1,1,MAIZE,0.8094,1374.3142,6,1697.94189453125
00A94DDA39EF4632A6F73B26EC901531,1,1,MAIZE,0.8094,1374.3142,6,1697.94189453125
